"year","no_cnip","total_persons","fips_county_code","fips_state_code","housing_units_total","no_vacant","no_poverty","no_white","no_black","no_native","no_asian","no_hispanic","no_unemployed"
"2013",5543,8532,"019","08",5672,1648,909,8524,51,87,246,462,414
"2013",3434,7532,"021","08",4272,1173,1585,7025,10,54,450,4541,299
"2013",1477,3251,"023","08",2618,1257,784,2953,0,35,148,2314,250
"2013",1782,5373,"025","08",1551,378,1157,4816,412,94,188,1654,502
"2013",1816,4053,"027","08",4159,2111,613,4132,35,19,29,174,279
"2013",13719,28183,"029","08",14504,1833,4576,29122,384,203,579,4360,1574
"2013",355112,564837,"031","08",287735,21666,116284,458669,61992,6829,71390,194513,30834
"2013",737,1572,"033","08",1473,693,253,1644,0,16,8,77,74
"2013",158703,270166,"035","08",108278,4498,11248,267064,2824,728,14143,22751,8923
"2013",33354,48345,"037","08",31253,13287,5666,47028,254,263,3696,15629,1893
"2013",308878,581725,"041","08",254669,17630,76520,515313,37622,4588,42390,97572,29287
"2013",12820,21969,"039","08",8969,729,1503,22216,56,116,256,1340,997
"2013",15484,43893,"043","08",19179,2241,6262,40171,2984,909,1788,5894,1316
"2013",31481,51712,"045","08",23251,3088,6598,51193,594,393,3160,15976,2745
"2013",3265,5226,"047","08",3519,1015,589,5049,26,21,172,369,209
"2013",8848,13707,"049","08",16194,10967,1602,13439,87,13,874,1102,518
"2013",9609,14360,"051","08",11443,5150,2545,14728,85,65,290,1315,802
"2013",398,721,"053","08",1473,1085,41,799,0,0,0,21,17
"2013",2659,6204,"055","08",5080,2021,1265,5051,92,424,412,2332,353
"2013",741,1308,"057","08",1206,558,121,1334,1,11,12,170,11
"2013",304913,501681,"059","08",230487,10925,45991,489943,5669,4520,26382,78924,23492
"2013",726,1260,"061","08",781,222,243,1394,2,4,12,67,29
"2013",3989,7494,"063","08",3513,467,1027,7749,247,82,103,1549,199
"2013",28882,48495,"067","08",25988,5041,5687,45749,240,3100,1887,6312,1881
"2013",4164,6753,"065","08",4394,1315,1032,5899,74,49,1158,2481,324
"2013",170747,283202,"069","08",133905,12482,41846,278420,2590,1665,13790,32682,13767
"2013",7133,13975,"071","08",8203,2211,2599,12826,156,311,1186,6348,650
"2013",1860,5025,"073","08",2305,460,532,4685,531,103,60,690,124
"2013",11952,20750,"075","08",8953,938,3788,20957,294,183,541,3579,1293
"2013",73627,134675,"077","08",62799,4201,21157,134785,976,1245,6275,19859,6410
"2013",374,718,"079","08",1264,871,49,727,6,6,17,22,11
"2013",7219,12270,"081","08",6168,1106,1515,12531,32,294,442,1914,503
"2013",12231,23412,"083","08",12008,1320,4831,21291,79,2967,447,2946,1432
"2013",19954,37679,"085","08",18204,1618,6484,37313,223,396,1797,8183,2193
"2013",13882,25310,"087","08",11440,994,3679,25265,744,155,1312,9687,882
"2013",8372,17218,"089","08",8944,1517,4573,16979,103,455,959,7673,995
"2013",2433,4313,"091","08",3080,1137,251,4351,0,19,30,153,267
"2013",9496,15385,"093","08",14000,6962,1451,15503,5,111,256,811,784
"2013",2094,3862,"095","08",1900,232,858,4118,22,35,115,1087,132
"2013",10840,16279,"097","08",12940,5433,1730,16216,165,136,391,1594,766
"2013",5904,11223,"099","08",5907,972,2808,11661,38,100,452,4449,574
"2013",73105,146288,"101","08",69502,7063,29637,127247,3387,3737,18970,66756,8477
"2013",3455,6191,"103","08",3260,622,974,6428,32,123,79,732,192
"2013",5530,10884,"105","08",6620,1898,2227,9578,62,306,1609,5154,450
"2013",14837,22114,"107","08",16282,6635,2094,22438,100,71,544,1557,825
"2013",3121,5703,"109","08",3861,1169,1518,5102,18,98,652,2501,302
"2013",460,619,"111","08",719,398,113,606,0,5,34,128,83
"2013",4879,7056,"113","08",6663,3429,793,7238,12,20,101,675,298
"2013",1147,2148,"115","08",1312,369,441,2204,7,7,44,359,113
"2013",18753,26521,"117","08",29948,18810,3836,25054,204,225,2175,3987,1160
"2013",12276,22109,"119","08",12652,3218,1614,21938,208,112,584,1328,1286
"2013",2336,4407,"121","08",2408,389,598,4623,30,20,50,436,109
"2013",132142,236005,"123","08",96879,6414,37096,225083,2535,2538,21429,73372,10759
"2013",4952,9132,"125","08",4446,635,818,9416,3,16,338,2121,180
"2013",498344,850006,"001","09",361272,28617,82958,694586,102414,1817,106911,161055,49238
"2013",486062,822717,"003","09",373809,25935,100947,652952,118531,2036,95272,141471,50120
"2013",108281,175134,"005","09",87338,11583,11970,177287,2331,333,5716,8954,8979
"2013",92713,153265,"007","09",74832,8691,10207,147489,7794,91,6557,8326,6499
"2013",467920,791866,"009","09",361726,33713,103599,649673,108359,2255,80814,134072,49298
"2013",145503,254048,"011","09",120900,13834,22772,225906,15242,1626,20220,24425,12846
"2013",85914,143118,"013","09",58067,3740,8950,136835,4624,130,7009,6924,6435
"2013",65384,109410,"015","09",49051,5033,12945,107826,2373,482,3959,11712,7294
"2013",79496,151453,"001","10",65924,7400,20720,112559,39802,1068,5748,10062,7825
"2013",288291,499836,"003","10",217753,17014,56494,361966,130133,1251,37119,48301,24769
"2013",95429,184199,"005","10",124188,47744,26419,160949,25029,691,9065,17744,8613
"2013",354171,572715,"001","11",298327,34678,109200,248141,310530,1990,44243,59479,38994
"2013",124943,232411,"001","12",112821,16778,58496,174974,50198,563,16783,21481,10796
"2013",11312,24981,"003","12",9601,1385,4252,22758,3772,50,224,586,1289
"2013",84644,157362,"005","12",99575,32014,24583,140914,17593,971,4298,8574,8357
"2013",11188,25642,"007","12",10929,2072,4404,21560,5525,70,220,1025,1754
"2013",258800,504865,"009","12",270081,49804,72534,456026,54822,1748,18774,46170,32032
"2013",965410,1637208,"011","12",810651,147193,252152,1129974,484677,3858,121730,461392,115211
"2013",4886,13624,"013","12",5945,1249,2956,12020,2088,236,197,785,499
"2013",62556,147842,"015","12",100663,30118,19879,146266,9192,349,2667,9869,8582
"2013",51932,129161,"017","12",77710,17391,23062,130835,4184,545,2868,6710,8181
"2013",95704,178829,"019","12",75738,7933,18652,158978,19434,676,8194,15643,10802
"2013",147044,300145,"021","12",198345,75373,45806,287351,22168,901,13711,85400,14864
"2013",30091,62562,"023","12",28393,4789,12587,52384,11891,313,1315,3435,5656
"2013",13693,31937,"027","12",14563,3941,9602,28461,4575,61,1143,10385,1724
"2013",5724,15093,"029","12",9201,3071,2641,14218,1405,46,189,388,517
"2013",449949,799236,"031","12",389707,58810,144738,539304,256737,2620,47687,68646,52553
"2013",140801,276443,"033","12",137196,25507,50783,208609,66610,1638,11566,14856,16926
"2013",39284,89742,"035","12",48718,13071,15985,78444,10906,114,5720,8775,4880
"2013",4747,10844,"037","12",8602,4308,1972,9444,1810,34,148,542,572
"2013",19895,43057,"039","12",19420,2758,11814,17902,25952,48,2288,4648,2801
"2013",6883,15753,"041","12",7218,978,3779,15531,969,45,144,839,1133
"2013",4554,11966,"043","12",6883,3040,2893,10261,1654,565,551,2786,719
"2013",6316,14865,"045","12",9091,3677,2209,12279,2909,111,289,707,752
