"coc.number","year","beds_current","beds_new","beds_dev","beds_facility","beds_other","beds_voucher","coc.state","sample","beds_es","beds_th","beds_rrh","beds_sh","beds_psh","beds_total"
"fl-501",2016,3335,93,90,744,0,0,"fl","hic extra",NA,NA,NA,NA,NA,NA
"fl-501",2017,3176,96,73,787,0,0,"fl","hic extra",NA,NA,NA,NA,NA,NA
"fl-501",2018,3142,447,20,785,184,0,"fl","hic extra",NA,NA,NA,NA,NA,NA
"fl-502",2014,3484,12,0,1363,0,102,"fl","hic extra",NA,NA,NA,NA,NA,NA
"fl-502",2015,4184,57,197,1526,0,205,"fl","hic extra",NA,NA,NA,NA,NA,NA
"fl-502",2016,3763,637,135,1426,0,0,"fl","hic extra",NA,NA,NA,NA,NA,NA
"fl-502",2017,3448,282,15,1559,0,0,"fl","hic extra",NA,NA,NA,NA,NA,NA
"fl-502",2018,3862,308,0,1531,27,0,"fl","hic extra",NA,NA,NA,NA,NA,NA
"fl-503",2014,587,0,0,193,0,0,"fl","hic extra",NA,NA,NA,NA,NA,NA
"fl-503",2015,633,35,0,230,0,0,"fl","hic extra",NA,NA,NA,NA,NA,NA
"fl-503",2016,551,307,0,327,0,0,"fl","hic extra",NA,NA,NA,NA,NA,NA
"fl-503",2017,690,98,37,249,0,0,"fl","hic extra",NA,NA,NA,NA,NA,NA
"fl-503",2018,904,15,4,278,0,0,"fl","hic extra",NA,NA,NA,NA,NA,NA
"fl-504",2014,1052,48,14,196,141,0,"fl","hic extra",NA,NA,NA,NA,NA,NA
"fl-504",2015,1161,185,0,199,141,0,"fl","hic extra",NA,NA,NA,NA,NA,NA
"fl-504",2016,1000,260,0,176,116,0,"fl","hic extra",NA,NA,NA,NA,NA,NA
"fl-504",2017,857,137,0,158,0,0,"fl","hic extra",NA,NA,NA,NA,NA,NA
"fl-504",2018,932,34,0,136,0,0,"fl","hic extra",NA,NA,NA,NA,NA,NA
"fl-505",2014,854,0,0,591,0,0,"fl","hic extra",NA,NA,NA,NA,NA,NA
"fl-505",2015,406,0,0,161,0,0,"fl","hic extra",NA,NA,NA,NA,NA,NA
"fl-505",2016,374,0,0,159,0,0,"fl","hic extra",NA,NA,NA,NA,NA,NA
"fl-505",2017,348,73,0,98,0,0,"fl","hic extra",NA,NA,NA,NA,NA,NA
"fl-505",2018,409,0,0,60,0,0,"fl","hic extra",NA,NA,NA,NA,NA,NA
"fl-506",2014,1208,67,0,297,49,0,"fl","hic extra",NA,NA,NA,NA,NA,NA
"fl-506",2015,1235,76,251,718,49,0,"fl","hic extra",NA,NA,NA,NA,NA,NA
"fl-506",2016,1359,143,9,613,0,0,"fl","hic extra",NA,NA,NA,NA,NA,NA
"fl-506",2017,1645,0,0,667,0,0,"fl","hic extra",NA,NA,NA,NA,NA,NA
"fl-506",2018,1515,0,0,642,0,0,"fl","hic extra",NA,NA,NA,NA,NA,NA
"fl-507",2014,4155,0,11,1298,14,28,"fl","hic extra",NA,NA,NA,NA,NA,NA
"fl-507",2015,3906,49,0,963,14,7,"fl","hic extra",NA,NA,NA,NA,NA,NA
"fl-507",2016,3622,74,0,977,14,0,"fl","hic extra",NA,NA,NA,NA,NA,NA
"fl-507",2017,4002,288,0,1029,0,20,"fl","hic extra",NA,NA,NA,NA,NA,NA
"fl-507",2018,4642,142,0,1181,0,144,"fl","hic extra",NA,NA,NA,NA,NA,NA
"fl-508",2014,1260,0,0,182,0,25,"fl","hic extra",NA,NA,NA,NA,NA,NA
"fl-508",2015,1166,0,0,263,0,0,"fl","hic extra",NA,NA,NA,NA,NA,NA
"fl-508",2016,1274,0,0,380,0,0,"fl","hic extra",NA,NA,NA,NA,NA,NA
"fl-508",2017,1351,0,0,404,0,0,"fl","hic extra",NA,NA,NA,NA,NA,NA
"fl-508",2018,1494,0,0,430,0,0,"fl","hic extra",NA,NA,NA,NA,NA,NA
"fl-509",2014,597,10,20,168,0,0,"fl","hic extra",NA,NA,NA,NA,NA,NA
"fl-509",2015,571,10,0,136,0,0,"fl","hic extra",NA,NA,NA,NA,NA,NA
"fl-509",2016,673,0,0,138,0,0,"fl","hic extra",NA,NA,NA,NA,NA,NA
"fl-509",2017,679,108,0,102,0,0,"fl","hic extra",NA,NA,NA,NA,NA,NA
"fl-509",2018,991,62,0,139,309,0,"fl","hic extra",NA,NA,NA,NA,NA,NA
"fl-510",2014,3277,0,0,1032,35,5,"fl","hic extra",NA,NA,NA,NA,NA,NA
"fl-510",2015,3461,171,160,909,37,30,"fl","hic extra",NA,NA,NA,NA,NA,NA
"fl-510",2016,3703,442,0,1011,3,27,"fl","hic extra",NA,NA,NA,NA,NA,NA
"fl-510",2017,3612,152,22,996,0,0,"fl","hic extra",NA,NA,NA,NA,NA,NA
"fl-510",2018,3527,150,0,1015,0,0,"fl","hic extra",NA,NA,NA,NA,NA,NA
