"coc.number.new","year","beds_current","beds_new","beds_dev","beds_facility","beds_other","beds_voucher","beds_es","beds_th","beds_rrh","beds_sh","beds_psh","beds_total","d.sample.bos.statewide","d.sample.esg.2013.2019","d.sample.coc.2013.2019","d.sample.suburban","d.sample.rural","d.sample.urban","d.sample.majorcity","d.sample.merged"
"ca-600",2017,36557,3242,2224,5703,35,4195,0,0,0,0,0,0,0,1,1,0,0,0,1,0
"ca-600",2018,39879,3411,380,7548,0,3566,0,0,0,0,0,0,0,1,1,0,0,0,1,0
"ca-601",2014,7932,688,116,1049,84,145,0,0,0,0,0,0,0,1,1,0,0,0,1,0
"ca-601",2015,7700,1404,4,1421,85,97,0,0,0,0,0,0,0,1,1,0,0,0,1,0
"ca-601",2016,8154,1143,8,1455,86,25,0,0,0,0,0,0,0,1,1,0,0,0,1,0
"ca-601",2017,7416,2120,556,1659,85,15,0,0,0,0,0,0,0,1,1,0,0,0,1,0
"ca-601",2018,7849,2893,493,1985,84,132,0,0,0,0,0,0,0,1,1,0,0,0,1,0
"ca-602",2014,4375,571,20,421,613,4,0,0,0,0,0,0,0,1,1,1,0,0,0,0
"ca-602",2015,5165,997,96,1088,20,10,0,0,0,0,0,0,0,1,1,1,0,0,0,0
"ca-602",2016,5348,323,27,634,493,18,0,0,0,0,0,0,0,1,1,1,0,0,0,0
"ca-602",2017,5347,621,214,1326,350,21,0,0,0,0,0,0,0,1,1,1,0,0,0,0
"ca-602",2018,6063,225,46,1379,400,79,0,0,0,0,0,0,0,1,1,1,0,0,0,0
"ca-603",2014,1448,59,41,620,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0
"ca-603",2015,1616,85,0,688,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0
"ca-603",2016,1915,35,0,740,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0
"ca-603",2017,2323,41,4,795,270,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0
"ca-603",2018,2246,54,24,682,242,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0
"ca-604",2014,1814,214,42,463,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0
"ca-604",2015,2046,335,42,470,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0
"ca-604",2016,2410,225,0,469,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0
"ca-604",2017,2859,116,29,469,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0
"ca-604",2018,3480,89,42,477,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0
"ca-606",2014,2107,52,0,468,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0
"ca-606",2015,2103,21,0,398,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0
"ca-606",2016,2386,262,0,457,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0
"ca-606",2017,3041,74,13,426,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0
"ca-606",2018,2858,85,13,425,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0
"ca-607",2014,526,4,0,126,42,4,0,0,0,0,0,0,0,1,1,0,0,1,0,0
"ca-607",2015,538,4,0,126,42,4,0,0,0,0,0,0,0,1,1,0,0,1,0,0
"ca-607",2016,613,0,0,212,0,6,0,0,0,0,0,0,0,1,1,0,0,1,0,0
"ca-607",2017,716,61,0,249,0,14,0,0,0,0,0,0,0,1,1,0,0,1,0,0
"ca-607",2018,831,6,0,288,0,5,0,0,0,0,0,0,0,1,1,0,0,1,0,0
"ca-608",2014,2489,6,0,723,0,54,0,0,0,0,0,0,0,1,1,1,0,0,0,0
"ca-608",2015,2922,137,5,739,0,66,0,0,0,0,0,0,0,1,1,1,0,0,0,0
"ca-608",2016,2575,345,0,716,0,40,0,0,0,0,0,0,0,1,1,1,0,0,0,0
"ca-608",2017,2535,161,117,676,0,23,0,0,0,0,0,0,0,1,1,1,0,0,0,0
"ca-608",2018,2474,256,184,763,0,24,0,0,0,0,0,0,0,1,1,1,0,0,0,0
"ca-609",2014,1817,102,28,358,105,93,0,0,0,0,0,0,0,1,1,1,0,0,0,0
"ca-609",2015,2186,91,272,312,30,352,0,0,0,0,0,0,0,1,1,1,0,0,0,0
"ca-609",2016,2900,5,23,245,0,80,0,0,0,0,0,0,0,1,1,1,0,0,0,0
"ca-609",2017,3689,208,54,172,46,203,0,0,0,0,0,0,0,1,1,1,0,0,0,0
"ca-609",2018,3552,324,19,150,57,180,0,0,0,0,0,0,0,1,1,1,0,0,0,0
"ca-611",2014,983,27,0,344,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0
"ca-611",2015,1041,42,46,365,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0
"ca-611",2016,1493,22,19,364,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0
"ca-611",2017,1429,78,50,151,178,5,0,0,0,0,0,0,0,1,1,0,0,1,0,0
"ca-611",2018,1662,98,45,193,175,14,0,0,0,0,0,0,0,1,1,0,0,1,0,0
"ca-612",2014,318,0,0,50,80,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0
"ca-612",2015,240,0,3,48,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0
"ca-612",2016,347,0,0,159,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0
"ca-612",2017,227,14,0,64,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0
